day,location,redds
2005-06-24,rkm483,139
2005-06-29,rkm483,206
2005-07-07,rkm483,126
2005-07-14,rkm483,124
2005-07-29,rkm483,60
2005-08-03,rkm483,30
2006-06-08,rkm483,0
2006-06-13,rkm483,0
2006-06-30,rkm483,77
2006-07-05,rkm483,54
2006-07-14,rkm483,53
2006-07-18,rkm483,66
2007-05-10,rkm483,6
2007-05-17,rkm483,5
2007-05-24,rkm483,37
2007-05-31,rkm483,15
2007-06-08,rkm483,29
2007-06-15,rkm483,14
2007-06-22,rkm483,28
2007-06-28,rkm483,12
2007-07-05,rkm483,3
2008-04-29,rkm483,0
2008-05-27,rkm483,0
2008-06-11,rkm483,6
2008-06-16,rkm483,56
2008-06-23,rkm483,78
2008-07-03,rkm483,51
2008-07-09,rkm483,6
2008-07-21,rkm483,18
2008-08-01,rkm483,11
2008-08-18,rkm483,0
2009-06-26,rkm483,0
2009-07-09,rkm483,14
2009-07-22,rkm483,0
2009-08-05,rkm483,0
2010-06-03,rkm483,3
2010-06-08,rkm483,14
2010-06-17,rkm483,41
2010-06-22,rkm483,30
2010-06-28,rkm483,15
2010-07-09,rkm483,0
2010-07-13,rkm483,4
2010-07-22,rkm483,0
2010-07-27,rkm483,0
2010-08-04,rkm483,0
2011-06-23,rkm483,0
2011-06-30,rkm483,1
2011-07-06,rkm483,0
2011-07-14,rkm483,0
2012-05-17,rkm483,5
2012-05-23,rkm483,2
2012-05-31,rkm483,11
2012-06-06,rkm483,15
2012-06-13,rkm483,16
2012-06-14,rkm483,11
2012-06-21,rkm483,13
2012-07-03,rkm483,29
2012-07-17,rkm483,6
2012-07-25,rkm483,61
2012-08-01,rkm483,10
2012-08-08,rkm483,5
2013-05-29,rkm483,0
2013-06-06,rkm483,1
2013-06-12,rkm483,6
2013-06-19,rkm483,19
2013-06-27,rkm483,35
2013-07-03,rkm483,73
2013-07-10,rkm483,71
2013-07-19,rkm483,76
2013-07-26,rkm483,61
2013-08-02,rkm483,49
2013-08-08,rkm483,41
2014-05-30,rkm483,7
2014-06-05,rkm483,0
2014-06-12,rkm483,15
2014-06-19,rkm483,1
2014-06-27,rkm483,5
2014-07-02,rkm483,15
2014-07-09,rkm483,11
2014-07-17,rkm483,12
2014-07-25,rkm483,1
2014-07-31,rkm483,3
2014-08-07,rkm483,1
2015-05-28,rkm483,3
2015-06-05,rkm483,9
2015-06-11,rkm483,10
2015-06-18,rkm483,11
2015-06-26,rkm483,4
2015-07-07,rkm483,9
2015-07-24,rkm483,13
2015-07-29,rkm483,6
2015-08-05,rkm483,3
2015-08-11,rkm483,1
2018-05-16,rkm483,2
2018-05-24,rkm483,1
2018-06-08,rkm483,5
2018-06-14,rkm483,2
2018-06-22,rkm483,2
2018-06-27,rkm483,2
2018-07-05,rkm483,16
2018-07-12,rkm483,11
2018-07-20,rkm483,4
2018-07-25,rkm483,9
2019-05-08,rkm483,0
2019-05-24,rkm483,0
2019-05-30,rkm483,0
2019-06-13,rkm483,0
2019-06-19,rkm483,2
2019-06-27,rkm483,1
2019-07-03,rkm483,2
2019-07-10,rkm483,3
2020-05-27,rkm483,8
2020-06-03,rkm483,11
2020-06-09,rkm483,10
2020-06-16,rkm483,3
2020-06-23,rkm483,66
2020-07-01,rkm483,47
2020-07-07,rkm483,33
2020-07-14,rkm483,8
2020-07-30,rkm483,31
2020-08-12,rkm483,11
2020-08-18,rkm483,1
