day,location,temperature
1996-03-16,rkm479,8.709
1996-03-17,rkm470,9.134
1996-03-17,rkm440,
1996-03-17,rkm485,8.611
1996-03-17,rkm483,8.68
1996-03-17,rkm479,8.82
1996-03-17,rkm450,
1996-03-17,rkm444,10.041
1996-03-18,rkm470,9.229
1996-03-18,rkm440,
1996-03-18,rkm483,8.731
1996-03-18,rkm479,8.884
1996-03-18,rkm444,10.226
1996-03-18,rkm450,
1996-03-18,rkm485,8.655
1996-03-19,rkm444,10.354000000000001
1996-03-19,rkm450,
1996-03-19,rkm470,9.248
1996-03-19,rkm483,8.696
1996-03-19,rkm485,8.611
1996-03-19,rkm440,
1996-03-19,rkm479,8.866
1996-03-20,rkm479,8.871
1996-03-20,rkm483,8.689
1996-03-20,rkm440,
1996-03-20,rkm444,10.46
1996-03-20,rkm485,8.599
1996-03-20,rkm450,
1996-03-20,rkm470,9.279
1996-03-21,rkm450,
1996-03-21,rkm440,
1996-03-21,rkm444,10.640999999999998
1996-03-21,rkm479,8.876
1996-03-21,rkm470,9.33
1996-03-21,rkm485,8.574
1996-03-21,rkm483,8.674
1996-03-22,rkm440,
1996-03-22,rkm444,10.865
1996-03-22,rkm479,9.023
1996-03-22,rkm483,8.812999999999999
1996-03-22,rkm485,8.708
1996-03-22,rkm470,9.497
1996-03-22,rkm450,
1996-03-23,rkm483,8.732000000000001
1996-03-23,rkm440,
1996-03-23,rkm470,9.256
1996-03-23,rkm450,
1996-03-23,rkm479,8.892999999999999
1996-03-23,rkm444,10.302999999999999
1996-03-23,rkm485,8.652000000000001
1996-03-24,rkm470,9.215
1996-03-24,rkm440,
1996-03-24,rkm485,8.587
1996-03-24,rkm444,10.305
1996-03-24,rkm450,
1996-03-24,rkm479,8.838
1996-03-24,rkm483,8.67
1996-03-25,rkm440,
1996-03-25,rkm485,8.802999999999999
1996-03-25,rkm479,9.044
1996-03-25,rkm450,
1996-03-25,rkm483,8.883
1996-03-25,rkm444,10.453
1996-03-25,rkm470,9.406
1996-03-26,rkm470,9.225
1996-03-26,rkm483,8.722000000000001
1996-03-26,rkm479,8.877
1996-03-26,rkm444,10.232999999999999
1996-03-26,rkm450,
1996-03-26,rkm485,8.645
1996-03-26,rkm440,
1996-03-27,rkm479,8.948
1996-03-27,rkm450,
1996-03-27,rkm470,9.217
1996-03-27,rkm485,8.77
1996-03-27,rkm483,8.829
1996-03-27,rkm440,
1996-03-27,rkm444,9.992
1996-03-28,rkm470,9.292
1996-03-28,rkm444,10.067
1996-03-28,rkm483,8.905
1996-03-28,rkm450,
1996-03-28,rkm485,8.846
1996-03-28,rkm479,9.024
1996-03-28,rkm440,
1996-03-29,rkm479,9.154
1996-03-29,rkm450,
1996-03-29,rkm444,10.02
1996-03-29,rkm485,9.006
1996-03-29,rkm470,9.376
1996-03-29,rkm440,
1996-03-29,rkm483,9.055
1996-03-30,rkm444,10.606
1996-03-30,rkm450,
1996-03-30,rkm440,
1996-03-30,rkm483,9.177
1996-03-30,rkm485,9.104
1996-03-30,rkm470,9.652999999999999
1996-03-30,rkm479,9.323
1996-03-31,rkm483,9.147
1996-03-31,rkm440,
1996-03-31,rkm485,9.081
1996-03-31,rkm450,
1996-03-31,rkm444,10.444
1996-03-31,rkm470,9.579
1996-03-31,rkm479,9.28
1996-04-01,rkm450,
1996-04-01,rkm444,10.715
1996-04-01,rkm479,9.511000000000001
1996-04-01,rkm485,9.305
1996-04-01,rkm483,9.373
1996-04-01,rkm470,9.82
1996-04-01,rkm440,
1996-04-02,rkm450,
1996-04-02,rkm485,9.145
1996-04-02,rkm470,9.854
1996-04-02,rkm444,11.085
1996-04-02,rkm479,9.427999999999999
1996-04-02,rkm440,
1996-04-02,rkm483,9.238999999999999
1996-04-03,rkm440,
1996-04-03,rkm485,9.25
1996-04-03,rkm470,9.999
1996-04-03,rkm444,11.298
1996-04-03,rkm450,
1996-04-03,rkm479,9.549
1996-04-03,rkm483,9.349
1996-04-04,rkm440,
1996-04-04,rkm470,10.27
1996-04-04,rkm483,9.68
1996-04-04,rkm450,
1996-04-04,rkm479,9.862
1996-04-04,rkm485,9.59
1996-04-04,rkm444,11.449000000000002
1996-04-05,rkm470,10.347000000000001
1996-04-05,rkm479,9.883
1996-04-05,rkm483,9.677
1996-04-05,rkm485,9.574
1996-04-05,rkm450,
1996-04-05,rkm440,
1996-04-05,rkm444,11.687000000000001
1996-04-06,rkm483,9.709
1996-04-06,rkm470,10.457
1996-04-06,rkm485,9.594
1996-04-06,rkm440,
1996-04-06,rkm479,9.939
1996-04-06,rkm444,11.953
1996-04-06,rkm450,
1996-04-07,rkm470,10.595999999999998
1996-04-07,rkm440,
1996-04-07,rkm479,10.043
1996-04-07,rkm450,
1996-04-07,rkm483,9.797
1996-04-07,rkm444,12.194
1996-04-07,rkm485,9.675
1996-04-08,rkm444,12.604000000000001
1996-04-08,rkm470,10.792
1996-04-08,rkm479,10.165
1996-04-08,rkm485,9.747
1996-04-08,rkm483,9.886000000000001
1996-04-08,rkm440,
1996-04-08,rkm450,
1996-04-09,rkm450,
1996-04-09,rkm470,10.513
1996-04-09,rkm444,11.921
1996-04-09,rkm440,
1996-04-09,rkm485,9.701
1996-04-09,rkm483,9.809
1996-04-09,rkm479,10.025
1996-04-10,rkm479,9.923
1996-04-10,rkm485,9.701
1996-04-10,rkm483,9.775
1996-04-10,rkm440,
1996-04-10,rkm444,11.222000000000001
1996-04-10,rkm470,10.257
1996-04-10,rkm450,
1996-04-11,rkm485,9.493
1996-04-11,rkm440,
1996-04-11,rkm450,
1996-04-11,rkm470,10.075
1996-04-11,rkm479,9.726
1996-04-11,rkm483,9.57
1996-04-11,rkm444,11.085999999999999
1996-04-12,rkm470,10.187000000000001
1996-04-12,rkm440,
1996-04-12,rkm485,9.562000000000001
1996-04-12,rkm479,9.812000000000001
1996-04-12,rkm450,
1996-04-12,rkm483,9.645
1996-04-12,rkm444,11.273
1996-04-13,rkm450,
1996-04-13,rkm440,
1996-04-13,rkm444,11.212
1996-04-13,rkm470,9.959
1996-04-13,rkm479,9.526
1996-04-13,rkm483,9.333
1996-04-13,rkm485,9.237
1996-04-14,rkm450,
1996-04-14,rkm485,9.37
1996-04-14,rkm440,
1996-04-14,rkm470,10.058
1996-04-14,rkm479,9.645
1996-04-14,rkm483,9.461
1996-04-14,rkm444,11.252
1996-04-15,rkm444,10.985999999999999
1996-04-15,rkm450,
1996-04-15,rkm479,9.717
1996-04-15,rkm440,
1996-04-15,rkm485,9.5
1996-04-15,rkm470,10.043
1996-04-15,rkm483,9.572000000000001
1996-04-16,rkm479,9.671
1996-04-16,rkm440,
1996-04-16,rkm470,10.046
1996-04-16,rkm450,
1996-04-16,rkm444,11.130999999999998
1996-04-16,rkm485,9.421
1996-04-16,rkm483,9.504
1996-04-17,rkm485,9.328
1996-04-17,rkm470,9.676
1996-04-17,rkm450,
1996-04-17,rkm483,9.374
1996-04-17,rkm479,9.467
1996-04-17,rkm444,10.28
1996-04-17,rkm440,
1996-04-18,rkm450,
1996-04-18,rkm479,9.373
1996-04-18,rkm444,10.134
1996-04-18,rkm470,9.568
1996-04-18,rkm485,9.243
1996-04-18,rkm440,
1996-04-18,rkm483,9.286
1996-04-19,rkm479,9.264
1996-04-19,rkm485,9.106
1996-04-19,rkm483,9.158
1996-04-19,rkm470,9.502
1996-04-19,rkm450,
1996-04-19,rkm440,
1996-04-19,rkm444,10.189
1996-04-20,rkm470,9.613
1996-04-20,rkm485,9.307
1996-04-20,rkm450,
1996-04-20,rkm479,9.429
1996-04-20,rkm444,10.145
1996-04-20,rkm483,9.347000000000001
1996-04-20,rkm440,
1996-04-21,rkm470,9.879
1996-04-21,rkm479,9.591000000000001
1996-04-21,rkm444,10.71
1996-04-21,rkm440,
1996-04-21,rkm483,9.463
1996-04-21,rkm450,
1996-04-21,rkm485,9.4
1996-04-22,rkm470,10.113999999999999
1996-04-22,rkm483,9.599
1996-04-22,rkm450,
1996-04-22,rkm479,9.757
1996-04-22,rkm444,11.145
1996-04-22,rkm440,
1996-04-22,rkm485,9.52
1996-04-23,rkm479,9.871
1996-04-23,rkm444,11.232999999999999
1996-04-23,rkm450,
1996-04-23,rkm485,9.638
1996-04-23,rkm483,9.715
1996-04-23,rkm470,10.221
1996-04-23,rkm440,
1996-04-24,rkm470,10.74
1996-04-24,rkm450,
1996-04-24,rkm483,9.873
1996-04-24,rkm444,12.474
1996-04-24,rkm485,9.74
1996-04-24,rkm479,10.14
1996-04-24,rkm440,
1996-04-25,rkm440,
1996-04-25,rkm479,10.280999999999999
1996-04-25,rkm483,10.022
1996-04-25,rkm450,
1996-04-25,rkm444,12.548
1996-04-25,rkm470,10.864
1996-04-25,rkm485,9.892999999999999
1996-04-26,rkm440,
1996-04-26,rkm444,12.969000000000001
1996-04-26,rkm450,
1996-04-26,rkm470,11.18
1996-04-26,rkm483,10.285
1996-04-26,rkm479,10.56
1996-04-26,rkm485,10.148
1996-04-27,rkm470,10.843
1996-04-27,rkm450,
1996-04-27,rkm485,10.055
1996-04-27,rkm444,12.21
1996-04-27,rkm479,10.37
1996-04-27,rkm483,10.16
1996-04-27,rkm440,
1996-04-28,rkm470,10.552
1996-04-28,rkm485,9.837
1996-04-28,rkm444,11.793
1996-04-28,rkm450,
1996-04-28,rkm483,9.932
1996-04-28,rkm440,
1996-04-28,rkm479,10.123
1996-04-29,rkm440,
1996-04-29,rkm450,
1996-04-29,rkm483,9.897
1996-04-29,rkm470,10.587
1996-04-29,rkm485,9.791
1996-04-29,rkm479,10.109
1996-04-29,rkm444,11.969000000000001
1996-04-30,rkm483,10.009
1996-04-30,rkm450,
1996-04-30,rkm479,10.255999999999998
1996-04-30,rkm485,9.886000000000001
1996-04-30,rkm470,10.811
1996-04-30,rkm444,12.417
1996-04-30,rkm440,
1996-05-01,rkm444,12.377
1996-05-01,rkm485,9.932
1996-05-01,rkm470,10.825999999999999
1996-05-01,rkm440,
1996-05-01,rkm479,10.289000000000001
1996-05-01,rkm450,
1996-05-01,rkm483,10.051
